station_id,year,month,day,hour,temperature_c
2024 012 0,6,31,2,0,
2024 012 0,9,33,4,0,
2024 012 1,2,33,0,0,
2024 012 1,5,29,2,0,
2024 012 1,8,26,0,0,
2024 012 2,0,99,9,0,
2024 013 0,0,99,9,0,
2024 013 0,3,27,0,0,
2024 013 0,6,31,2,0,
2024 013 0,9,33,8,0,
2024 013 1,2,32,4,0,
2024 013 1,5,29,8,0,
2024 013 1,8,26,2,0,
2024 013 2,1,24,6,0,
2024 014 0,0,23,0,0,
2024 014 0,3,26,4,0,
2024 014 0,6,31,6,0,
2024 014 0,9,34,4,0,
2024 014 1,2,33,4,0,
2024 014 1,5,33,4,0,
2024 014 1,8,26,8,0,
2024 014 2,1,27,6,0,
2024 015 0,0,22,6,0,
2024 015 0,3,27,2,0,
2024 015 0,6,32,0,0,
2024 015 0,9,35,0,0,
2024 015 1,2,33,2,0,
2024 015 1,5,29,0,0,
2024 015 1,8,27,2,0,
2024 015 2,1,25,2,0,
2024 019 0,0,25,6,0,
2024 019 0,3,26,0,0,
2024 019 0,6,32,2,0,
2024 019 0,9,35,2,0,
2024 019 1,2,35,0,0,
2024 019 1,5,32,0,0,
2024 019 1,8,30,8,0,
2024 019 2,1,27,2,0,
2024 020 0,0,26,0,0,
2024 020 0,3,24,8,0,
2024 020 0,6,31,0,0,
2024 020 0,9,33,6,0,
2024 020 1,2,30,0,0,
2024 020 1,5,29,4,0,
2024 020 1,8,27,8,0,
2024 020 2,1,27,0,0,
2024 021 0,0,25,2,0,
2024 021 0,3,28,6,0,
2024 021 0,6,33,0,0,
2024 021 0,9,35,8,0,
2024 021 1,2,35,0,0,
2024 021 1,5,31,4,0,
2024 021 1,8,29,0,0,
2024 021 2,1,26,6,0,
2024 022 0,0,25,4,0,
2024 022 0,3,28,2,0,
2024 022 0,6,32,4,0,
2024 022 0,9,36,2,0,
2024 022 1,2,34,8,0,
2024 022 1,5,30,8,0,
2024 022 1,8,29,6,0,
2024 022 2,1,26,8,0,
2024 023 0,0,26,0,0,
2024 023 0,3,28,2,0,
2024 023 0,6,34,0,0,
2024 023 0,9,36,6,0,
2024 023 1,2,34,2,0,
2024 023 1,5,30,0,0,
2024 023 1,8,28,4,0,
2024 023 2,1,26,4,0,
2024 024 0,0,24,4,0,
2024 024 0,3,26,6,0,
2024 024 0,6,33,4,0,
2024 024 0,9,36,0,0,
2024 024 1,2,34,2,0,
2024 024 1,5,30,2,0,
2024 024 1,8,27,0,0,
2024 024 2,1,25,0,0,
2024 025 0,0,25,2,0,
2024 025 0,3,28,2,0,
2024 025 0,6,33,4,0,
2024 025 0,9,36,4,0,
2024 025 1,2,34,4,0,
2024 025 1,5,31,0,0,
2024 025 1,8,28,4,0,
2024 025 2,1,26,0,0,
2024 026 0,0,25,0,0,
2024 026 0,3,28,4,0,
2024 026 0,6,34,4,0,
2024 026 0,9,36,4,0,
2024 026 1,2,35,0,0,
2024 026 1,5,31,0,0,
2024 026 1,8,28,6,0,
2024 026 2,1,25,4,0,
2024 027 0,0,24,2,0,
2024 027 0,3,28,6,0,
2024 027 0,6,34,2,0,
2024 027 0,9,36,8,0,
2024 027 1,2,35,0,0,
2024 027 1,5,31,0,0,
2024 027 1,8,27,8,0,
2024 027 2,1,25,8,0,
2024 028 0,0,24,2,0,
2024 028 0,3,27,4,0,
2024 028 0,6,34,2,0,
2024 028 0,9,37,8,0,
2024 028 1,2,36,0,0,
