station_id,month_date,rolling_3m_tavg
IN009010101,1966-01-01,
IN009010101,1966-02-01,
IN009010101,1966-03-01,
IN009010101,1966-04-01,
IN009010101,1966-05-01,
IN009010101,1966-06-01,
IN009010101,1966-07-01,
IN009010101,1966-08-01,
IN009010101,1966-09-01,
IN009010101,1966-10-01,
IN009010101,1966-11-01,
IN009010101,1966-12-01,
IN009010101,1967-01-01,
IN009010101,1967-02-01,
IN009010101,1967-03-01,
IN009010101,1967-04-01,
IN009010101,1967-05-01,
IN009010101,1967-06-01,
IN009010101,1967-07-01,
IN009010101,1967-08-01,
IN009010101,1967-09-01,
IN009010101,1967-10-01,
IN009010101,1967-11-01,
IN009010101,1967-12-01,
IN009010101,1968-01-01,
IN009010101,1968-02-01,
IN009010101,1968-03-01,
IN009010101,1968-04-01,
IN009010101,1968-05-01,
IN009010101,1968-06-01,
IN009010101,1968-07-01,
IN009010101,1968-08-01,
IN009010101,1968-09-01,
IN009010101,1968-10-01,
IN009010101,1968-11-01,
IN009010101,1968-12-01,
IN009010101,1969-01-01,
IN009010101,1969-02-01,
IN009010101,1969-03-01,
IN009010101,1969-04-01,
IN009010101,1969-05-01,
IN009010101,1969-06-01,
IN009010101,1969-07-01,
IN009010101,1969-08-01,
IN009010101,1969-09-01,
IN009010101,1969-10-01,
IN009010101,1969-11-01,
IN009010101,1969-12-01,
IN009010101,1970-01-01,
IN009010101,1970-02-01,
IN009010101,1970-03-01,
IN009010101,1970-04-01,
IN009010101,1970-05-01,
IN009010101,1970-06-01,
IN009010101,1970-07-01,
IN009010101,1970-08-01,
IN009010101,1970-09-01,
IN009010101,1970-10-01,
IN009010101,1970-11-01,
IN009010101,1970-12-01,
IN009010500,1901-01-01,
IN009010500,1901-02-01,
IN009010500,1901-03-01,
IN009010500,1901-04-01,
IN009010500,1901-05-01,
IN009010500,1901-06-01,
IN009010500,1901-07-01,
IN009010500,1901-08-01,
IN009010500,1901-09-01,
IN009010500,1901-10-01,
IN009010500,1901-11-01,
IN009010500,1901-12-01,
IN009010500,1902-01-01,
IN009010500,1902-02-01,
IN009010500,1902-03-01,
IN009010500,1902-04-01,
IN009010500,1902-05-01,
IN009010500,1902-06-01,
IN009010500,1902-07-01,
IN009010500,1902-08-01,
IN009010500,1902-09-01,
IN009010500,1902-10-01,
IN009010500,1902-11-01,
IN009010500,1902-12-01,
IN009010500,1903-01-01,
IN009010500,1903-02-01,
IN009010500,1903-03-01,
IN009010500,1903-04-01,
IN009010500,1903-05-01,
IN009010500,1903-06-01,
IN009010500,1903-07-01,
IN009010500,1903-08-01,
IN009010500,1903-09-01,
IN009010500,1903-10-01,
IN009010500,1903-11-01,
IN009010500,1903-12-01,
IN009010500,1904-01-01,
IN009010500,1904-02-01,
IN009010500,1904-03-01,
IN009010500,1904-04-01,
IN009010500,1904-05-01,
IN009010500,1904-06-01,
IN009010500,1904-07-01,
IN009010500,1904-08-01,
IN009010500,1904-09-01,
IN009010500,1904-10-01,
IN009010500,1904-11-01,
IN009010500,1904-12-01,
IN009010500,1905-01-01,
IN009010500,1905-02-01,
IN009010500,1905-03-01,
IN009010500,1905-04-01,
IN009010500,1905-05-01,
IN009010500,1905-06-01,
IN009010500,1905-07-01,
IN009010500,1905-08-01,
IN009010500,1905-09-01,
IN009010500,1905-10-01,
IN009010500,1905-11-01,
IN009010500,1905-12-01,
IN009010500,1906-01-01,
IN009010500,1906-02-01,
IN009010500,1906-03-01,
IN009010500,1906-04-01,
IN009010500,1906-05-01,
IN009010500,1906-06-01,
